username,repo_name,stars,repo_url
public-apis,public-apis,279000,https://github.com/public-apis/public-apis
neovim,neovim,73600,https://github.com/neovim/neovim
tiangolo,fastapi,68000,https://github.com/tiangolo/fastapi
strapi,strapi,58800,https://github.com/strapi/strapi
hoppscotch,hoppscotch,58800,https://github.com/hoppscotch/hoppscotch
ocornut,imgui,54000,https://github.com/ocornut/imgui
slatedocs,slate,35700,https://github.com/slatedocs/slate
Kong,insomnia,32400,https://github.com/Kong/insomnia
trpc,trpc,31500,https://github.com/trpc/trpc
httpie,cli,31100,https://github.com/httpie/cli
hasura,graphql-engine,30700,https://github.com/hasura/graphql-engine
ccxt,ccxt,30400,https://github.com/ccxt/ccxt
Binaryify,NeteaseCloudMusicApi,30300,https://github.com/Binaryify/NeteaseCloudMusicApi
QuivrHQ,quivr,27800,https://github.com/QuivrHQ/quivr
encode,django-rest-framework,27100,https://github.com/encode/django-rest-framework
YMFE,yapi,26900,https://github.com/YMFE/yapi
littlecodersh,ItChat,24800,https://github.com/littlecodersh/ItChat
directus,directus,24700,https://github.com/directus/directus
microsoft,api-guidelines,22300,https://github.com/microsoft/api-guidelines
PostgREST,postgrest,21800,https://github.com/PostgREST/postgrest
